V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Yeni tikili,16 / 19,130 m²,3,var,235 000AZN,mülkiyyətçi,7101,09 Avqust 2019,"Cavanşir körpüsü 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,4 / 21,164 m²,3,var,237 000AZN,mülkiyyətçi,290,Bugün 10,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,3 / 12,80 m²,2,var,55 400AZN,mülkiyyətçi,8426,11 Avqust 2019,"Abşeron r.
",,,,,,,,,
Yeni tikili,17 / 19,115 m²,3,var,210 000AZN,mülkiyyətçi,9706,Dünən 15,"İnşaatçılar m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Köhnə tikili,9 / 9,60 m²,2,var,82 000AZN,vasitəçi (agent),131,11 Avqust 2019,"Sabunçu r.
"," Bakıxanov q.
",,,,,,,,
Yeni tikili,11 / 16,103 m²,2,yoxdur,107 000AZN,mülkiyyətçi,5398,11 Avqust 2019,"Azadlıq Prospekti m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,3 / 18,131 m²,3,var,220 000AZN,vasitəçi (agent),165,10 Avqust 2019,"Dövlət Statistika Komitəsi 
"," Nizami m.
"," İncəsənət və Mədəniyyət Un. 
"," Yasamal r.
",,,,,,
Yeni tikili,5 / 12,51 m²,2,yoxdur,72 000AZN,vasitəçi (agent),120,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,14 / 16,176 m²,4,var,250 000AZN,vasitəçi (agent),154,10 Avqust 2019,"Rəssamlıq Akademiyası 
"," Montin bazarı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,6 / 14,140 m²,3,yoxdur,250 000AZN,mülkiyyətçi,675,10 Avqust 2019,"Nərimanov r.
",,,,,,,,,
Yeni tikili,5 / 16,140 m²,3,var,255 000AZN,vasitəçi (agent),2808,Bugün 10,"Təhsil Nazirliyi 
",,,,,,,,,
Yeni tikili,15 / 17,140 m²,3,var,330 000AZN,vasitəçi (agent),1544,Bugün 10,"Nəsimi bazarı 
"," TQDK 
"," Nəsimi r.
",,,,,,,
Köhnə tikili,8 / 9,45 m²,2,var,38 000AZN,vasitəçi (agent),617,11 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,8 / 9,100 m²,3,var,205 000AZN,vasitəçi (agent),281,11 Avqust 2019,"Rəssamlıq Akademiyası 
"," Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,
Köhnə tikili,6 / 9,100 m²,5,var,173 000AZN,vasitəçi (agent),304,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,6 / 23,169 m²,4,var,450 000AZN,vasitəçi (agent),370,10 Avqust 2019,"Neft Akademiyası 
"," 28 May m.
"," Səməd Vurğun parkı 
"," Pedaqoji Universiteti 
"," Bakı Musiqi Akademiyası 
"," Milli Konservatoriya 
"," Nəsimi r.
",,,
Yeni tikili,9 / 14,120 m²,3,var,360 000AZN,vasitəçi (agent),83,10 Avqust 2019,"Tibb Universiteti 
"," Park Zorge 
"," Nəsimi r.
",,,,,,,
Yeni tikili,16 / 20,153 m²,3,yoxdur,125 000AZN,mülkiyyətçi,6281,10 Avqust 2019,"Tibb Universiteti 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,2 / 9,110 m²,4,var,125 000AZN,mülkiyyətçi,5293,Dünən 23,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Köhnə tikili,5 / 5,33 m²,1,var,48 000AZN,vasitəçi (agent),539,Dünən 10,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,12 / 17,70 m²,2,var,95 000AZN,vasitəçi (agent),193,11 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Yeni tikili,15 / 19,140 m²,3,var,118 500AZN,vasitəçi (agent),540,11 Avqust 2019,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,11 / 16,111 m²,3,yoxdur,111 000AZN,vasitəçi (agent),1030,11 Avqust 2019,"Nizami r.
",,,,,,,,,
Köhnə tikili,3 / 9,55 m²,2,var,71 000AZN,vasitəçi (agent),403,11 Avqust 2019,"Suraxanı r.
"," Yeni Günəşli q.
",,,,,,,,
Yeni tikili,4 / 18,210 m²,4,var,365 000AZN,vasitəçi (agent),502,10 Avqust 2019,"Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," Sirk 
"," 28 May m.
"," Nəsimi r.
",,,,,
Yeni tikili,15 / 19,87 m²,2,var,130 000AZN,vasitəçi (agent),111,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,17 / 17,100 m²,3,var,100 000AZN,vasitəçi (agent),197,10 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,,
Yeni tikili,17 / 23,190 m²,3,var,840 000AZN,vasitəçi (agent),476,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,17 / 17,240 m²,3,var,350 000AZN,vasitəçi (agent),1933,Bugün 10,"Qış parkı 
"," Beşmərtəbə 
"," Nizami m.
"," Nəsimi r.
",,,,,,
Yeni tikili,14 / 17,110 m²,3,var,160 000AZN,vasitəçi (agent),173,11 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Yeni tikili,6 / 16,137 m²,3,yoxdur,165 000AZN,vasitəçi (agent),304,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,3 / 4,70 m²,3,var,105 000AZN,vasitəçi (agent),549,11 Avqust 2019,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Rəssamlıq Akademiyası 
"," Nərimanov r.
",,,,,,
Yeni tikili,11 / 18,135 m²,3,yoxdur,137 000AZN,vasitəçi (agent),283,10 Avqust 2019,"Zərifə Əliyeva adına park 
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,
Yeni tikili,16 / 17,63 m²,2,yoxdur,88 000AZN,vasitəçi (agent),145,10 Avqust 2019,"Əhmədli m.
"," Xətai r.
",,,,,,,,
Köhnə tikili,6 / 9,54 m²,2,var,137 000AZN,vasitəçi (agent),139,10 Avqust 2019,"Gənclik m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,8 / 16,125 m²,3,var,175 000AZN,mülkiyyətçi,125,10 Avqust 2019,"Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,,
